Unnamed: 0,titel,slutpris,postnummer,ort,medelinkomst_månad,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Biarea,Uteplats,Tomtarea,Våning,Byggår,Driftkostnad,Avgift,Finns_hiss,latitude,longitude
,Pilgatan 5,3750000,11223,Stockholms kommun,48167,Lägenhet,Bostadsrätt,1.0,33.0,,0,,1,1932.0,3000,1702,1,59.3279474,18.0382888
,Kronobergsgatan 20,2675000,11233,Stockholms kommun,42968,Lägenhet,Bostadsrätt,1.0,19.0,,0,,3,1911.0,5100,1553,1,59.33551109999999,18.0354232
,"Sysslomansgatan 26, 8 tr",3170000,11241,Stockholms kommun,45598,Lägenhet,Bostadsrätt,2.0,36.0,,0,,8,1939.0,9360,2579,1,59.33076810000001,18.0240446
,"Fleminggatan 111, 1 tr (vån 2)",3960000,11245,Stockholms kommun,40511,Lägenhet,Bostadsrätt,2.0,37.0,,0,,2,1909.0,3000,2088,1,59.3350348,18.0272725
,"Igeldammsgatan 12, 5tr",3750000,11249,Stockholms kommun,45100,Lägenhet,Bostadsrätt,1.5,41.0,,0,,5,,8904,2699,1,59.33628059999999,18.0255678
,"Ernst Ahlgrens Väg 4, 3 tr",3625000,11255,Stockholms kommun,35302,Lägenhet,Bostadsrätt,2.0,40.5,,0,,3,1933.0,3000,2328,1,59.3308705,18.0043915
,Sigtunagatan 18,3475000,11322,Stockholms kommun,52857,Lägenhet,Bostadsrätt,1.0,33.0,,0,,0,1897.0,8040,1636,1,59.3423236,18.0410314
,Bråvallagatan 6,3025000,11336,Stockholms kommun,55702,Lägenhet,Bostadsrätt,1.0,25.0,,0,,1,,2400,1369,1,59.33854340000001,18.0348834
,"Torsgatan 70, gårdsläge",3425000,11337,Stockholms kommun,50886,Lägenhet,Bostadsrätt,1.0,31.0,,0,,0,1925.0,5880,1946,1,59.34460540000001,18.035218
,"Tomtebogatan 39A, 1tr",2995000,11338,Stockholms kommun,49731,Lägenhet,Bostadsrätt,1.0,28.0,,0,,1,1911.0,4800,1610,1,59.3415645,18.0286632
,Norrtullsgatan 30,2835000,11345,Stockholms kommun,45926,Lägenhet,Bostadsrätt,1.0,33.0,,0,,1,1939.0,3000,2148,1,59.3488067,18.0457507
,"Rådmansgatan 46, 6tr",3900000,11357,Stockholms kommun,45362,Lägenhet,Bostadsrätt,1.0,33.0,,0,,6,1959.0,3600,3432,1,59.3411408,18.0610417
,"Rådmansgatan  46, 4tr",2750000,11357,Stockholms kommun,45362,Lägenhet,Bostadsrätt,1.5,27.0,,0,,4,1957.0,4800,2406,1,59.3411408,18.0610417
,Sandhamnsgatan 57 C,3250000,11528,Stockholms kommun,70093,Lägenhet,Bostadsrätt,1.0,33.0,,0,,2,1966.0,8712,1788,1,59.3415802,18.1118873
,Rindögatan 11,3700000,11536,Stockholms kommun,37720,Lägenhet,Bostadsrätt,2.0,38.5,,0,,6,1942.0,3000,2717,1,59.347447,18.095005
,"Smedsbacksgatan 7, 2tr",3495000,11539,Stockholms kommun,38145,Lägenhet,Bostadsrätt,2.0,38.0,,0,,2,1939.0,3000,2413,1,59.34801419999999,18.0987605
,Artemisgatan 73,3175000,11542,Stockholms kommun,33460,Lägenhet,Bostadsrätt,2.0,35.0,,0,,1,1939.0,6800,2036,1,59.35667839999999,18.0958586
,"Artemisgatan 71, 2 tr!",3500000,11542,Stockholms kommun,33460,Lägenhet,Bostadsrätt,2.0,37.0,,0,,2,1939.0,10750,2152,1,59.3568191,18.0961601
,"Motalavägen 5, 2tr",3060000,11543,Stockholms kommun,35047,Lägenhet,Bostadsrätt,2.0,40.0,,0,,2,1935.0,4800,3189,1,59.3529649,18.0958502
,"Öregrundsgatan 6, 1tr",3350000,11559,Stockholms kommun,34144,Lägenhet,Bostadsrätt,2.0,47.0,,0,,1,1943.0,3000,2746,1,59.34626729999999,18.1089806
,Bjurholmsplan 23,2700000,11663,Stockholms kommun,34853,Lägenhet,Bostadsrätt,1.0,23.0,,0,,3,1930.0,5688,1877,1,59.3098152,18.0810402
,"Rutger Fuchsgatan 8B, 3tr",3400000,11667,Stockholms kommun,36343,Lägenhet,Bostadsrätt,1.5,33.0,,0,,3,1926.0,6300,1788,0,59.30700299999999,18.0781006
,"Lorensbergsgatan 5B, 2 tr",3800000,11733,Stockholms kommun,41416,Lägenhet,Bostadsrätt,2.0,39.0,,0,,2,1929.0,6588,1922,1,59.3192653,18.0334597
,"Folkskolegatan 6, 3 tr",2550000,11735,Stockholms kommun,33289,Lägenhet,Bostadsrätt,1.0,22.0,,0,,3,1929.0,5156,2208,1,59.31786,18.0294596
,"Bergsunds strand 31, 5 tr",3510000,11738,Stockholms kommun,46971,Lägenhet,Bostadsrätt,1.0,35.9,,0,,5,1931.0,3864,1361,1,59.315572,18.0296432
,"Hildebergsvägen 12, 2tr",3625000,11762,Stockholms kommun,42855,Lägenhet,Bostadsrätt,2.0,58.0,,0,,2,,3000,4146,0,59.3032254,18.0278466
,"Hildebergsvägen 6, 3tr",3995000,11762,Stockholms kommun,42855,Lägenhet,Bostadsrätt,3.0,58.0,,0,,3,,7200,4129,0,59.3031638,18.0284189
,"Nybohovsbacken 63, 3tr",3820000,11764,Stockholms kommun,27086,Lägenhet,Bostadsrätt,3.0,76.0,,0,,3,1960.0,3000,4443,1,59.30880029999999,18.0153148
,Björngårdsgatan 11,2695000,11826,Stockholms kommun,49944,Lägenhet,Bostadsrätt,1.0,26.0,,0,,3,1929.0,5880,1816,1,59.3164657,18.0657579
,"Åsögatan 98, 2tr.",3120000,11829,Stockholms kommun,32957,Lägenhet,Bostadsrätt,1.0,30.0,,0,,2,1936.0,4680,2030,1,59.31240219999999,18.0710107
,Rosenlundsgatan 20,4000000,11853,Stockholms kommun,42720,Lägenhet,Bostadsrätt,1.5,46.0,,0,,2,1929.0,9360,2263,1,59.3167517,18.0553834
