,titel,slutpris,postnummer,ort,medelinkomst_månad,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Biarea,Uteplats,Tomtarea,Våning,Byggår,Driftkostnad,Avgift,Finns_hiss
2248,"Kammakargatan 70, 2 tr",3100000,11124.0,Stockholms kommun,46954.0,Lägenhet,Bostadsrätt,1.0,33,,1,,1.0,1946.0,3000.0,1720.0,1
981,Västmannagatan 13,3100000,11124.0,Stockholms kommun,46954.0,Lägenhet,Bostadsrätt,1.0,23,,0,,2.0,1886.0,4400.0,2667.0,1
3452,Västmannagatan 13,3100000,11124.0,Stockholms kommun,46954.0,Lägenhet,Bostadsrätt,1.0,23,,0,,2.0,1886.0,4400.0,2667.0,1
3282,Sveavägen 62,3280000,11134.0,Stockholms kommun,108608.0,Lägenhet,Bostadsrätt,1.5,25,,0,,1.0,1931.0,6000.0,0.0,1
811,Sveavägen 62,3280000,11134.0,Stockholms kommun,108608.0,Lägenhet,Bostadsrätt,1.5,25,,0,,3.0,1931.0,6000.0,0.0,1
1473,Drottninggatan 73A,3350000,11136.0,Stockholms kommun,52408.0,Lägenhet,Bostadsrätt,1.0,29,,0,,1.0,1886.0,5700.0,949.0,1
1390,"Tegnérgatan 19, 2 tr",2920000,11140.0,Stockholms kommun,67919.0,Lägenhet,Bostadsrätt,1.0,22,,0,,1.0,1936.0,3000.0,1243.0,1
929,Kammakargatan 21,3070000,11160.0,Stockholms kommun,46058.0,Lägenhet,Bostadsrätt,1.0,26,,0,,4.0,1942.0,4800.0,1853.0,1
3400,Kammakargatan 21,3070000,11160.0,Stockholms kommun,46058.0,Lägenhet,Bostadsrätt,1.0,26,,0,,1.0,1942.0,4800.0,1853.0,1
558,Kammakargatan 46,3250000,11160.0,Stockholms kommun,46058.0,Lägenhet,Bostadsrätt,1.0,26,,0,,1.0,,3000.0,1761.0,1
3029,Kammakargatan 46,3250000,11160.0,Stockholms kommun,46058.0,Lägenhet,Bostadsrätt,1.0,26,,0,,1.0,,3000.0,1761.0,1
526,"Tegnérgatan 55 C, 4tr",3000000,11161.0,Stockholms kommun,53116.0,Lägenhet,Bostadsrätt,1.0,24,,0,,2.0,1928.0,3800.0,2092.0,1
946,"Tegnérgatan 57, 2 tr",3300000,11161.0,Stockholms kommun,53116.0,Lägenhet,Bostadsrätt,1.0,26,,0,,2.0,1929.0,4800.0,1801.0,1
499,"Tegnérgatan 55 C, 4tr",3000000,11161.0,Stockholms kommun,53116.0,Lägenhet,Bostadsrätt,1.0,24,,0,,2.0,1928.0,3800.0,2092.0,1
2970,"Tegnérgatan 55 C, 4tr",3000000,11161.0,Stockholms kommun,53116.0,Lägenhet,Bostadsrätt,1.0,24,,0,,1.0,1928.0,3800.0,2092.0,1
3417,"Tegnérgatan 57, 2 tr",3300000,11161.0,Stockholms kommun,53116.0,Lägenhet,Bostadsrätt,1.0,26,,0,,1.0,1929.0,4800.0,1801.0,1
2630,"Garvar Lundins gränd 6, vån 2",3350000,11220.0,Stockholms kommun,73351.0,Lägenhet,Bostadsrätt,1.0,30,,0,,4.0,1927.0,3000.0,1136.0,1
3586,Kungsholms Hamnplan 5,3075000,11220.0,Stockholms kommun,73351.0,Lägenhet,Bostadsrätt,1.0,23,,0,,1.0,1913.0,6000.0,1063.0,1
921,"Skillinggränd 9, 4 tr",2850000,11220.0,Stockholms kommun,73351.0,Lägenhet,Bostadsrätt,1.0,20,,0,,4.0,1927.0,3000.0,1289.0,1
159,"Garvar Lundins gränd 6, vån 2",3350000,11220.0,Stockholms kommun,73351.0,Lägenhet,Bostadsrätt,1.0,30,,0,,2.0,1927.0,3000.0,1136.0,1
1115,Kungsholms Hamnplan 5,3075000,11220.0,Stockholms kommun,73351.0,Lägenhet,Bostadsrätt,1.0,23,,0,,2.0,1913.0,6000.0,1063.0,1
3131,"Hantverkargatan 28A, Gårdshus",3100000,11221.0,Stockholms kommun,70404.0,Lägenhet,Bostadsrätt,1.0,22,,0,,1.0,1883.0,3000.0,1032.0,1
661,"Hantverkargatan 28A, Gårdshus",3100000,11221.0,Stockholms kommun,70404.0,Lägenhet,Bostadsrätt,1.0,22,,0,,2.0,1883.0,3000.0,1032.0,1
3031,John Ericssonsgatan 14,3500000,11222.0,Stockholms kommun,41736.0,Lägenhet,Bostadsrätt,1.0,30,,0,,3.0,1934.0,7000.0,1248.0,1
1119,"John Ericssonsgatan 18, 3tr",3060000,11222.0,Stockholms kommun,41736.0,Lägenhet,Bostadsrätt,1.0,24,,0,,2.0,1935.0,3600.0,1013.0,1
1201,John Ericssonsgatan 11A,3450000,11222.0,Stockholms kommun,41736.0,Lägenhet,Bostadsrätt,1.0,33,,0,,2.0,1935.0,5400.0,2216.0,1
1372,John Ericssonsgatan 3,3100000,11222.0,Stockholms kommun,41736.0,Lägenhet,Bostadsrätt,1.0,32,,0,,5.0,,3000.0,2015.0,1
3672,John Ericssonsgatan 11A,3450000,11222.0,Stockholms kommun,41736.0,Lägenhet,Bostadsrätt,1.0,33,,0,,3.0,1935.0,5400.0,2216.0,1
3590,"John Ericssonsgatan 18, 3tr",3060000,11222.0,Stockholms kommun,41736.0,Lägenhet,Bostadsrätt,1.0,24,,0,,7.0,1935.0,3600.0,1013.0,1
560,John Ericssonsgatan 14,3500000,11222.0,Stockholms kommun,41736.0,Lägenhet,Bostadsrätt,1.0,30,,0,,1.0,1934.0,7000.0,1248.0,1
1451,Bergsgatan 11,3350000,11223.0,Värmdö kommun,48167.0,Lägenhet,Bostadsrätt,2.5,72,,1,,2.0,1882.0,4200.0,4736.0,1
1507,Pipersgatan 16,3100000,11224.0,Stockholms kommun,48880.0,Lägenhet,Bostadsrätt,2.0,27.5,,0,,3.0,1935.0,5800.0,3054.0,1
2201,"Kungsklippan 20, vån 4",2990000,11225.0,Stockholms kommun,45896.0,Lägenhet,Bostadsrätt,1.0,27,,0,,7.0,1934.0,3000.0,3127.0,1
9002,Kungsklippan 11,2285000,11225.0,Stockholms kommun,45896.0,Lägenhet,Bostadsrätt,1.0,23,,0,,1.0,1938.0,3000.0,2744.0,1
2305,Kungsklippan 11,2600000,11225.0,Stockholms kommun,45896.0,Lägenhet,Bostadsrätt,1.0,31,,0,,1.0,1938.0,3000.0,4060.0,1
722,"Kungsklippan 20, vån 4",3010000,11225.0,Stockholms kommun,45896.0,Lägenhet,Bostadsrätt,1.0,32.5,,0,,2.0,1934.0,3000.0,3606.0,1
3425,"Kungsklippan 12, 7 tr",3250000,11225.0,Stockholms kommun,45896.0,Lägenhet,Bostadsrätt,1.0,32,,0,,6.0,1934.0,3000.0,3446.0,1
1457,Kungsklippan 20,2750000,11225.0,Stockholms kommun,45896.0,Lägenhet,Bostadsrätt,1.0,23,,0,,5.0,,3840.0,2737.0,1
96,Kungsklippan 11,2950000,11225.0,Stockholms kommun,45896.0,Lägenhet,Bostadsrätt,1.5,30,,1,,1.0,1937.0,5400.0,3909.0,1
1913,Kungsklippan 14,3380000,11225.0,Stockholms kommun,45896.0,Lägenhet,Bostadsrätt,2.0,36.5,,0,,3.0,1937.0,5400.0,3997.0,1
10340,"Kungsklippan 11, våning 2",2495000,11225.0,Stockholms kommun,45896.0,Lägenhet,Bostadsrätt,1.0,24,,0,,2.0,,3000.0,2263.0,1
352,Kungsklippan 11,2600000,11225.0,Stockholms kommun,45896.0,Lägenhet,Bostadsrätt,1.0,31,,0,,3.0,1938.0,5088.0,4045.0,1
438,Kungsklippan 20,2675000,11225.0,Stockholms kommun,45896.0,Lägenhet,Bostadsrätt,1.0,28,,0,,1.0,1934.0,3000.0,3215.0,1
10066,"Kungsklippan 11, 3 tr",2325000,11225.0,Stockholms kommun,45896.0,Lägenhet,Bostadsrätt,1.0,24,,0,,3.0,1938.0,4800.0,2274.0,1
749,Kungsklippan 17B,3200000,11225.0,Stockholms kommun,45896.0,Lägenhet,Bostadsrätt,1.5,27,,0,,1.0,1911.0,3000.0,1023.0,1
603,Kungsklippan 5,2900000,11225.0,Stockholms kommun,45896.0,Lägenhet,Bostadsrätt,1.0,24,,0,,4.0,1911.0,3000.0,1293.0,1
9531,Kungsklippan 11,2340000,11225.0,Stockholms kommun,45896.0,Lägenhet,Bostadsrätt,1.0,24,,0,,2.0,,3600.0,2828.0,1
1318,Kungsklippan 11,2650000,11225.0,Stockholms kommun,45896.0,Lägenhet,Bostadsrätt,1.5,31,,0,,2.0,,6324.0,4012.0,1
1341,"Kungsklippan 11, 4tr",2730000,11225.0,Stockholms kommun,45896.0,Lägenhet,Bostadsrätt,2.0,31,,0,,1.0,1938.0,6000.0,4061.0,1
1385,Kungsklippan 11,2700000,11225.0,Stockholms kommun,45896.0,Lägenhet,Bostadsrätt,1.5,31,,0,,8.0,1938.0,4800.0,4012.0,1
954,"Kungsklippan 12, 7 tr",3250000,11225.0,Stockholms kommun,45896.0,Lägenhet,Bostadsrätt,1.0,32,,0,,2.0,1934.0,3000.0,3446.0,1
1433,"Kungsklippan 20, vån 2",2900000,11225.0,Stockholms kommun,45896.0,Lägenhet,Bostadsrätt,1.0,27,,0,,2.0,1934.0,3000.0,3127.0,1
