,titel,slutpris,postnummer,ort,medelinkomst_månad,Bostadstyp,Upplåtelseform,Antal rum,Boarea,Biarea,Uteplats,Tomtarea,Våning,Byggår,Driftkostnad,Avgift,Finns_hiss,Slutpris_delat,inkomst_delat
0,"Kammakargatan 70, 2 tr",3100000,11124,Stockholms kommun,46954,Lägenhet,Bostadsrätt,1.0,33.0,,1,,1,1946.0,3000,1720,1,31.0,4.6954
1,Västmannagatan 13,3100000,11124,Stockholms kommun,46954,Lägenhet,Bostadsrätt,1.0,23.0,,0,,2,1886.0,4400,2667,1,31.0,4.6954
2,Västmannagatan 13,3100000,11124,Stockholms kommun,46954,Lägenhet,Bostadsrätt,1.0,23.0,,0,,2,1886.0,4400,2667,1,31.0,4.6954
3,Sveavägen 62,3280000,11134,Stockholms kommun,108608,Lägenhet,Bostadsrätt,1.5,25.0,,0,,1,1931.0,6000,0,1,32.8,10.8608
4,Sveavägen 62,3280000,11134,Stockholms kommun,108608,Lägenhet,Bostadsrätt,1.5,25.0,,0,,3,1931.0,6000,0,1,32.8,10.8608
5,Drottninggatan 73A,3350000,11136,Stockholms kommun,52408,Lägenhet,Bostadsrätt,1.0,29.0,,0,,1,1886.0,5700,949,1,33.5,5.2408
6,"Tegnérgatan 19, 2 tr",2920000,11140,Stockholms kommun,67919,Lägenhet,Bostadsrätt,1.0,22.0,,0,,1,1936.0,3000,1243,1,29.2,6.7919
7,Kammakargatan 21,3070000,11160,Stockholms kommun,46058,Lägenhet,Bostadsrätt,1.0,26.0,,0,,4,1942.0,4800,1853,1,30.7,4.6058
8,Kammakargatan 21,3070000,11160,Stockholms kommun,46058,Lägenhet,Bostadsrätt,1.0,26.0,,0,,1,1942.0,4800,1853,1,30.7,4.6058
9,Kammakargatan 46,3250000,11160,Stockholms kommun,46058,Lägenhet,Bostadsrätt,1.0,26.0,,0,,1,,3000,1761,1,32.5,4.6058
10,Kammakargatan 46,3250000,11160,Stockholms kommun,46058,Lägenhet,Bostadsrätt,1.0,26.0,,0,,1,,3000,1761,1,32.5,4.6058
11,"Tegnérgatan 55 C, 4tr",3000000,11161,Stockholms kommun,53116,Lägenhet,Bostadsrätt,1.0,24.0,,0,,2,1928.0,3800,2092,1,30.0,5.3116
12,"Tegnérgatan 57, 2 tr",3300000,11161,Stockholms kommun,53116,Lägenhet,Bostadsrätt,1.0,26.0,,0,,2,1929.0,4800,1801,1,33.0,5.3116
13,"Tegnérgatan 55 C, 4tr",3000000,11161,Stockholms kommun,53116,Lägenhet,Bostadsrätt,1.0,24.0,,0,,2,1928.0,3800,2092,1,30.0,5.3116
14,"Tegnérgatan 55 C, 4tr",3000000,11161,Stockholms kommun,53116,Lägenhet,Bostadsrätt,1.0,24.0,,0,,1,1928.0,3800,2092,1,30.0,5.3116
15,"Tegnérgatan 57, 2 tr",3300000,11161,Stockholms kommun,53116,Lägenhet,Bostadsrätt,1.0,26.0,,0,,1,1929.0,4800,1801,1,33.0,5.3116
16,"Garvar Lundins gränd 6, vån 2",3350000,11220,Stockholms kommun,73351,Lägenhet,Bostadsrätt,1.0,30.0,,0,,4,1927.0,3000,1136,1,33.5,7.3351
17,Kungsholms Hamnplan 5,3075000,11220,Stockholms kommun,73351,Lägenhet,Bostadsrätt,1.0,23.0,,0,,1,1913.0,6000,1063,1,30.75,7.3351
18,"Skillinggränd 9, 4 tr",2850000,11220,Stockholms kommun,73351,Lägenhet,Bostadsrätt,1.0,20.0,,0,,4,1927.0,3000,1289,1,28.5,7.3351
19,"Garvar Lundins gränd 6, vån 2",3350000,11220,Stockholms kommun,73351,Lägenhet,Bostadsrätt,1.0,30.0,,0,,2,1927.0,3000,1136,1,33.5,7.3351
20,Kungsholms Hamnplan 5,3075000,11220,Stockholms kommun,73351,Lägenhet,Bostadsrätt,1.0,23.0,,0,,2,1913.0,6000,1063,1,30.75,7.3351
21,"Hantverkargatan 28A, Gårdshus",3100000,11221,Stockholms kommun,70404,Lägenhet,Bostadsrätt,1.0,22.0,,0,,1,1883.0,3000,1032,1,31.0,7.0404
22,"Hantverkargatan 28A, Gårdshus",3100000,11221,Stockholms kommun,70404,Lägenhet,Bostadsrätt,1.0,22.0,,0,,2,1883.0,3000,1032,1,31.0,7.0404
23,John Ericssonsgatan 14,3500000,11222,Stockholms kommun,41736,Lägenhet,Bostadsrätt,1.0,30.0,,0,,3,1934.0,7000,1248,1,35.0,4.1736
24,"John Ericssonsgatan 18, 3tr",3060000,11222,Stockholms kommun,41736,Lägenhet,Bostadsrätt,1.0,24.0,,0,,2,1935.0,3600,1013,1,30.6,4.1736
25,John Ericssonsgatan 11A,3450000,11222,Stockholms kommun,41736,Lägenhet,Bostadsrätt,1.0,33.0,,0,,2,1935.0,5400,2216,1,34.5,4.1736
26,John Ericssonsgatan 3,3100000,11222,Stockholms kommun,41736,Lägenhet,Bostadsrätt,1.0,32.0,,0,,5,,3000,2015,1,31.0,4.1736
27,John Ericssonsgatan 11A,3450000,11222,Stockholms kommun,41736,Lägenhet,Bostadsrätt,1.0,33.0,,0,,3,1935.0,5400,2216,1,34.5,4.1736
28,"John Ericssonsgatan 18, 3tr",3060000,11222,Stockholms kommun,41736,Lägenhet,Bostadsrätt,1.0,24.0,,0,,7,1935.0,3600,1013,1,30.6,4.1736
29,John Ericssonsgatan 14,3500000,11222,Stockholms kommun,41736,Lägenhet,Bostadsrätt,1.0,30.0,,0,,1,1934.0,7000,1248,1,35.0,4.1736
30,Bergsgatan 11,3350000,11223,Värmdö kommun,48167,Lägenhet,Bostadsrätt,2.5,72.0,,1,,2,1882.0,4200,4736,1,33.5,4.8167
31,Pipersgatan 16,3100000,11224,Stockholms kommun,48880,Lägenhet,Bostadsrätt,2.0,27.5,,0,,3,1935.0,5800,3054,1,31.0,4.888
32,"Kungsklippan 20, vån 4",2990000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,27.0,,0,,7,1934.0,3000,3127,1,29.9,4.5896
33,Kungsklippan 11,2285000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,23.0,,0,,1,1938.0,3000,2744,1,22.85,4.5896
34,Kungsklippan 11,2600000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,31.0,,0,,1,1938.0,3000,4060,1,26.0,4.5896
35,"Kungsklippan 20, vån 4",3010000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,32.5,,0,,2,1934.0,3000,3606,1,30.1,4.5896
36,"Kungsklippan 12, 7 tr",3250000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,32.0,,0,,6,1934.0,3000,3446,1,32.5,4.5896
37,Kungsklippan 20,2750000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,23.0,,0,,5,,3840,2737,1,27.5,4.5896
38,Kungsklippan 11,2950000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.5,30.0,,1,,1,1937.0,5400,3909,1,29.5,4.5896
39,Kungsklippan 14,3380000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,2.0,36.5,,0,,3,1937.0,5400,3997,1,33.8,4.5896
40,"Kungsklippan 11, våning 2",2495000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,24.0,,0,,2,,3000,2263,1,24.95,4.5896
41,Kungsklippan 11,2600000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,31.0,,0,,3,1938.0,5088,4045,1,26.0,4.5896
42,Kungsklippan 20,2675000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,28.0,,0,,1,1934.0,3000,3215,1,26.75,4.5896
43,"Kungsklippan 11, 3 tr",2325000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,24.0,,0,,3,1938.0,4800,2274,1,23.25,4.5896
44,Kungsklippan 17B,3200000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.5,27.0,,0,,1,1911.0,3000,1023,1,32.0,4.5896
45,Kungsklippan 5,2900000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,24.0,,0,,4,1911.0,3000,1293,1,29.0,4.5896
46,Kungsklippan 11,2340000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,24.0,,0,,2,,3600,2828,1,23.4,4.5896
47,Kungsklippan 11,2650000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.5,31.0,,0,,2,,6324,4012,1,26.5,4.5896
48,"Kungsklippan 11, 4tr",2730000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,2.0,31.0,,0,,1,1938.0,6000,4061,1,27.3,4.5896
49,Kungsklippan 11,2700000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.5,31.0,,0,,8,1938.0,4800,4012,1,27.0,4.5896
50,"Kungsklippan 12, 7 tr",3250000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,32.0,,0,,2,1934.0,3000,3446,1,32.5,4.5896
51,"Kungsklippan 20, vån 2",2900000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,27.0,,0,,2,1934.0,3000,3127,1,29.0,4.5896
52,Kungsklippan 11,2400000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,24.0,,0,,2,1938.0,4560,2828,1,24.0,4.5896
53,"Kungsklippan 11, vån 5",2395000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,24.0,,0,,5,,7488,2870,1,23.95,4.5896
54,"Kungsklippan 20, vån 6",2880000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,27.0,,0,,2,1934.0,3100,3127,1,28.8,4.5896
55,Kungsklippan 20,2895000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,2.0,31.5,,0,,3,1934.0,3000,3403,1,28.95,4.5896
56,Kungsklippan 17B,3200000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.5,27.0,,0,,1,1911.0,3000,1023,1,32.0,4.5896
57,Kungsklippan 12,3500000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,2.0,36.0,,0,,2,1934.0,5796,3954,1,35.0,4.5896
58,Kungsklippan 12,3500000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,2.0,36.0,,0,,2,1934.0,5796,3954,1,35.0,4.5896
59,"Kungsklippan 20, vån 4",3010000,11225,Stockholms kommun,45896,Lägenhet,Bostadsrätt,1.0,32.5,,0,,5,1934.0,3000,3606,1,30.1,4.5896
60,"Kungsbro strand 25, vån 3",3050000,11226,Stockholms kommun,60764,Lägenhet,Bostadsrätt,1.0,32.5,,0,,1,1936.0,3000,3649,1,30.5,6.0764
61,Kungsholmsgatan 13,3250000,11227,Stockholms kommun,48255,Lägenhet,Bostadsrätt,1.0,33.5,,0,,2,1935.0,3000,3577,1,32.5,4.8255
62,Kungsholmsgatan 13,3250000,11227,Stockholms kommun,48255,Lägenhet,Bostadsrätt,1.0,33.5,,0,,3,1935.0,3000,3577,1,32.5,4.8255
63,"Kungsholmsgatan 9, vån 2",2850000,11227,Stockholms kommun,48255,Lägenhet,Bostadsrätt,2.0,28.5,,1,,1,1934.0,708,3141,1,28.5,4.8255
64,Kungsholmsgatan 13,2750000,11227,Stockholms kommun,48255,Lägenhet,Bostadsrätt,1.0,24.0,,0,,-1,1934.0,3000,2577,1,27.5,4.8255
65,"Kungsholmsgatan 9, 4tr",2550000,11227,Stockholms kommun,48255,Lägenhet,Bostadsrätt,1.0,23.0,,0,,0,1935.0,8496,2779,1,25.5,4.8255
66,Kungsholmsgatan 9,2875000,11227,Stockholms kommun,48255,Lägenhet,Bostadsrätt,1.0,33.0,,0,,4,1934.0,3000,3448,1,28.75,4.8255
67,Kungsholmsgatan 13,3350000,11227,Stockholms kommun,48255,Lägenhet,Bostadsrätt,1.0,34.5,,0,,7,1935.0,6000,3664,1,33.5,4.8255
68,"Kungsholmsgatan 11, 6tr",3150000,11227,Stockholms kommun,48255,Lägenhet,Bostadsrätt,1.0,31.5,,0,,6,1936.0,3900,3562,1,31.5,4.8255
69,Kungsholmsgatan 13,3350000,11227,Stockholms kommun,48255,Lägenhet,Bostadsrätt,1.0,34.5,,0,,3,1935.0,6000,3664,1,33.5,4.8255
70,"Kungsholmsgatan 11, 6tr",3150000,11227,Stockholms kommun,48255,Lägenhet,Bostadsrätt,1.0,31.5,,0,,2,1936.0,3900,3562,1,31.5,4.8255
71,"Bergsgatan 29, 4tr",2500000,11228,Stockholms kommun,57275,Lägenhet,Bostadsrätt,1.0,24.0,,0,,2,1935.0,7092,1501,1,25.0,5.7275
72,"Bergsgatan 29, 4tr",2500000,11228,Stockholms kommun,57275,Lägenhet,Bostadsrätt,1.0,24.0,,0,,4,1935.0,7092,1501,1,25.0,5.7275
